id,name,image_url,description
1,Single Trick,http://juggling.tv/chimg/11.jpg,Some tricks don't need company
2,Kendama,http://juggling.tv/chimg/26.jpg,"Kendama, Bilboquet, Balero - extreme cup & ball!"
3,Live Performance,http://juggling.tv/chimg/2.jpg,The stars of the stage
4,Balls,http://juggling.tv/chimg/16.jpg,The sphere of influence
5,Hat & Cane,http://juggling.tv/chimg/22.jpg,For the gentleman juggler
6,Mixed Prop,http://juggling.tv/chimg/32.jpg,Some videos just can't decide
7,Contact,http://juggling.tv/chimg/19.jpg,For those who like to stay in touch
8,Other,http://juggling.tv/chimg/31.jpg,For props from outside the box
9,Rings,http://juggling.tv/chimg/17.jpg,"Grinds, pancakes, pulldowns and numbers"
10,Spin & Swing,http://juggling.tv/chimg/24.jpg,"Poi, clubs, flags, staff - If it's spin, it's in..."
11,Clubs,http://juggling.tv/chimg/14.jpg,"Spin, lego, roll or contact - it's your choice"
12,Music Video,http://juggling.tv/chimg/3.jpg,It's a pop world and don't we know it..
13,Hoop,http://juggling.tv/chimg/28.jpg,"Hula, roll or isolate- on your body or on the floor"
14,Bounce,http://juggling.tv/chimg/30.jpg,You don't have to throw up...
15,Instructional,http://juggling.tv/chimg/4.jpg,"It's a little like school, but a lot more fun"
16,Convention,http://juggling.tv/chimg/5.jpg,The only place to be
17,Comedy,http://juggling.tv/chimg/6.jpg,"If it's not funny, it's not coming in"
18,Promotional,http://juggling.tv/chimg/7.jpg,"Hype! Performer, festival or product: plug it here."
19,History,http://juggling.tv/chimg/8.jpg,"Yes, there was juggling before the internet..."
20,Passing,http://juggling.tv/chimg/9.jpg,Jugglers with friends
21,Actual TV,http://juggling.tv/chimg/10.jpg,From the thing they used to call the television
22,Numbers,http://juggling.tv/chimg/12.jpg,It's raining props!
23,JTV,http://juggling.tv/chimg/13.jpg,Videos from the JTV stable
24,Diabolo,http://juggling.tv/chimg/18.jpg,Super spin from that thing on the string
25,Devil Stick,http://juggling.tv/chimg/20.jpg,More propellers than a jumbo jet.
26,Boxes & Cups,http://juggling.tv/chimg/21.jpg,The world of brick and beaker manipulation
27,Unicycle,http://juggling.tv/chimg/23.jpg,Monowheels for bipeds
28,Yo-Yo,http://juggling.tv/chimg/25.jpg,String's our thing. We know Yo!
29,Fire & Glow,http://juggling.tv/chimg/27.jpg,Fire and light manipulation - the world of pretty trails
30,Feet,http://juggling.tv/chimg/29.jpg,It's not all about hands you know...
